algo,d,oov_mode,test_acc,test_macro_f1,best_dev_macro_f1
glove,50,affix,0.829762032949284,0.13005777932834406,0.1370765840563632
glove,100,affix,0.833616883816087,0.15317088844312904,0.1641526359096762
glove,200,affix,0.8496823516743836,0.2737348763782632,0.30005442394357007
glove,300,affix,0.8617206848282546,0.3937023592717927,0.41428247802986434
svd,50,affix,0.8253472596102078,0.10086394219306578,0.10380914859720554
svd,100,affix,0.8253687950899107,0.10218609921314135,0.10498975150492013
svd,200,affix,0.8251965112522881,0.10310935439002292,0.10733608897190824
svd,300,affix,0.8253472596102078,0.10320772534351698,0.10730401210399793
